,Title,Rating,Year,Actors,Runtime
0,Aynabaji,9.2,2016,"['Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua']",147 min
1,Wheels,9.2,2014,"['Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle']",115 min
2,Aloko Udapadi,9.1,2017,"['Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris']",113 min
3,The Dark Knight,9.0,2008,"['Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine']",152 min
4,Dag II,8.9,2016,"['Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli']",135 min
5,The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"['Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson']",137 min
6,Inception,8.8,2010,"['Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe']",148 min
7,Vikram Vedha,8.7,2017,"['Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir']",147 min
8,Aruvi,8.6,2016,"['Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold']",130 min
9,Monpura,8.6,2009,"['Chanchal Chowdhury, Farhana Mili, Shirin Alam, Mohiuddin Bahar']",136 min
10,Interstellar,8.6,2014,"['Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy']",169 min
11,Ayla: The Daughter of War,8.5,2017,"['Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol']",125 min
12,Visaaranai,8.5,2015,"['Dinesh, Samuthirakani, Anandhi, Murugadass']",117 min
13,Whiplash,8.5,2014,"['Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser']",106 min
14,The Intouchables,8.5,2011,"['François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot']",112 min
15,Dhuruvangal Pathinaaru,8.4,2016,"['Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna']",105 min
16,Kimi no na wa.,8.4,2016,"['Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki']",106 min
17,Dangal,8.4,2016,"['Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra']",161 min
18,Thani Oruvan,8.4,2015,"['Jayam Ravi, Arvind Swamy, Nayanthara, Nassar']",160 min
19,RangiTaranga,8.4,2015,"['Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar']",149 min
20,Papanasam,8.4,2015,"['Kamal Haasan, Gautami, Nivetha Thomas, Esther Anil']",179 min
21,Drishyam,8.4,2013,"['Mohanlal, Meena, Asha Sharath, Ansiba']",160 min
22,Ulidavaru Kandanthe,8.4,2014,"['Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar']",154 min
23,Coco,8.4,2017,"['Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach']",105 min
24,Django Unchained,8.4,2012,"['Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington']",165 min
25,The Dark Knight Rises,8.4,2012,"['Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman']",164 min
26,3 Idiots,8.4,2009,"['Aamir Khan, Madhavan, Mona Singh, Sharman Joshi']",170 min
27,WALL·E,8.4,2008,"['Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard']",98 min
28,Theeran adhigaaram ondru,8.3,2017,"['Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat']",157 min
29,Sairat,8.3,2016,"['Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde']",174 min
30,Maheshinte Prathikaaram,8.3,2016,"['Fahadh Faasil, Aparna Balamurali, Soubin Shahir, Alencier Ley Lopez']",120 min
31,Premam,8.3,2015,"['Nivin Pauly, Sai Pallavi, Madonna Sebastian, S.V. Krishna Shankar']",156 min
32,Bangalore Days,8.3,2014,"['Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil']",171 min
33,Jigarthanda,8.3,2014,"['Siddharth, Bobby Simha, Lakshmi Menon, Nassar']",171 min
34,Soodhu Kavvum,8.3,2013,"['Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar']",135 min
35,It's Such a Beautiful Day,8.3,2012,['Director: Don Hertzfeldt'],62 min
36,Lucia,8.3,2013,"['Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker']",135 min
37,Ustad Hotel,8.3,2012,"['Dulquer Salmaan, Thilakan, Siddique, Nithya Menon']",151 min
38,Jagten,8.3,2012,"['Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm']",115 min
39,A Separation,8.3,2011,"['Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini']",123 min
40,"Montevideo, vidimo se!",8.3,2014,"['Milos Bikovic, Petar Strugar, Armand Assante, Viktor Savic']",141 min
41,Incendies,8.3,2010,"['Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel']",131 min
42,Toy Story 3,8.3,2010,"['Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty']",103 min
43,Inglourious Basterds,8.3,2009,"['Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent']",153 min
44,Arjun Reddy,8.2,2017,"['Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana']",182 min
45,Abad va yek rooz,8.2,2016,"['Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Shabnam Moghadami']",112 min
46,Koe no katachi,8.2,2016,"['Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono']",130 min
47,"Three Billboards Outside Ebbing, Missouri",8.2,2017,"['Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones']",115 min
48,Talvar,8.2,2015,"['Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah']",132 min
49,Baahubali 2: The Conclusion,8.2,2017,"['Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia']",167 min
